                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2779,                 1.2543,                 1.2627,                0.94878,                 0.8689,                0.93961,                0.56796,                 1.3771,                0.78761,                 1.3169,             0.00066616,             0.00066616,             0.00066616
                      2,                 1.2785,                0.80172,                 1.2733,                0.94747,                0.90666,                0.95227,                0.59429,                 1.2969,                0.70365,                 1.2925,              0.0012669,              0.0012669,              0.0012669
                      3,                 1.2486,                0.74163,                  1.258,                0.90492,                0.89493,                0.93182,                0.59972,                 1.3046,                 0.7062,                 1.2789,              0.0018015,              0.0018015,              0.0018015
                      4,                 1.2231,                0.70067,                 1.2414,                0.96904,                0.92478,                0.96451,                0.63951,                 1.2206,                0.56063,                 1.2183,               0.001703,               0.001703,               0.001703
                      5,                 1.1937,                0.66757,                 1.2287,                0.97172,                0.93152,                0.96575,                0.62243,                 1.2988,                0.55681,                 1.2526,               0.001703,               0.001703,               0.001703
                      6,                 1.1675,                0.63338,                 1.2104,                0.96937,                 0.9353,                0.96583,                0.65713,                 1.1952,                 0.5297,                 1.2086,               0.001604,               0.001604,               0.001604
                      7,                 1.1546,                0.61887,                 1.2006,                0.97207,                 0.9467,                0.97509,                 0.6571,                 1.2117,                0.50045,                 1.2009,               0.001505,               0.001505,               0.001505
                      8,                 1.1303,                0.59214,                 1.1882,                0.96854,                0.93873,                0.97093,                0.62599,                 1.2969,                0.51532,                 1.2556,               0.001406,               0.001406,               0.001406
                      9,                 1.1198,                0.57177,                 1.1807,                0.97629,                0.94606,                 0.9765,                0.67643,                 1.1485,                0.47705,                 1.1724,               0.001307,               0.001307,               0.001307
                     10,                 1.1103,                0.56091,                 1.1707,                0.97185,                0.94371,                0.97313,                0.66639,                 1.1852,                0.48813,                  1.193,               0.001208,               0.001208,               0.001208
                     11,                 1.0931,                0.48084,                  1.202,                0.97254,                0.94671,                0.97113,                0.66955,                 1.1739,                0.48254,                 1.1897,               0.001109,               0.001109,               0.001109
                     12,                 1.0776,                0.46564,                 1.1944,                0.97451,                0.94465,                0.97274,                0.67168,                  1.173,                0.45953,                 1.1925,                0.00101,                0.00101,                0.00101
                     13,                 1.0585,                0.44942,                 1.1803,                0.97826,                0.94325,                0.97593,                0.67792,                  1.149,                0.46527,                 1.1706,               0.000911,               0.000911,               0.000911
                     14,                 1.0455,                0.43891,                 1.1731,                0.98062,                0.94931,                0.97987,                0.68525,                 1.1339,                0.44702,                 1.1606,               0.000812,               0.000812,               0.000812
                     15,                 1.0314,                0.42739,                 1.1652,                0.98247,                0.94637,                0.98132,                0.69343,                 1.1241,                0.44004,                 1.1617,               0.000713,               0.000713,               0.000713
                     16,                 1.0175,                0.41423,                 1.1586,                0.98068,                0.95242,                0.98283,                0.69573,                 1.1177,                0.42601,                 1.1542,               0.000614,               0.000614,               0.000614
                     17,                 1.0071,                0.40379,                 1.1542,                0.98107,                0.95544,                0.98382,                0.69843,                 1.1197,                0.41695,                 1.1584,               0.000515,               0.000515,               0.000515
                     18,                0.98877,                0.39113,                 1.1399,                0.98014,                 0.9493,                0.98193,                0.69875,                 1.1141,                0.41735,                 1.1524,               0.000416,               0.000416,               0.000416
                     19,                0.97703,                0.38187,                 1.1306,                0.97894,                0.95934,                0.98302,                0.69816,                 1.1201,                0.40582,                 1.1548,               0.000317,               0.000317,               0.000317
                     20,                0.96165,                0.37029,                 1.1253,                0.97825,                0.96107,                0.98293,                0.69901,                 1.1179,                0.40259,                 1.1549,               0.000218,               0.000218,               0.000218
